% Model:              V2_FullGeometrie_TaRIX.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 3 2025, 11:24
% Dimension:          1
% Nodes:              668
% Expressions:        1
% Description:        Graphique sur ligne
% Longueur d'arc (mm)     T-293
111.96681851914566        -12.620456556624346
112.24071687864739        -12.625741893197732
112.39344846107781        -12.628689109895195
112.59660824993736        -12.632609424950228
113.00454247778596        -12.64048121249183
113.02812527750038        -12.640936282883855
113.09960380239062        -12.642539289104283
113.68793453342909        -12.655733431302536
114.02309432644229        -12.663249859962226
114.0661237556519         -12.664379875651992
114.08627862204443        -12.664909171895681
114.42032333527575        -12.67368167420325
114.71304586504571        -12.681368995589192
114.90613223676388        -12.686439725866805
114.96634444100451        -12.688020986338
115.09358482851245        -12.691362504849796
115.4081602025179         -12.69962371385883
115.71978141966663        -12.707807342391911
115.88078259404699        -12.712661804885954
116.11891648924654        -12.719841951659753
116.41224400688105        -12.728686281139376
116.56104525451858        -12.733172894845783
116.86819864185712        -12.742434098091618
117.26393169511087        -12.758176386612625
117.44432873735512        -12.765352593563236
117.53889591072615        -12.769114482330377
117.72990984613396        -12.776713030033168
118.02650222010212        -12.788511495402041
118.19687455285946        -12.795288918708508
118.45146301945852        -12.805416465706077
118.60303818870902        -12.810249675169391
118.71634279262507        -12.813862568274455
118.77725522375066        -12.815804855655728
118.99262211857707        -12.822672163271523
119.18902722043802        -12.82801622781086
119.38378598159692        -12.833315496411176
119.70405814579453        -12.842029909119407
119.78302647175529        -12.844178589711198
120.03593918411124        -12.851060192301173
120.0559476879999         -12.851604611642134
120.2917844491596         -12.859268476522587
120.65024004142929        -12.87091702194569
120.71082711964365        -12.872885888795174
120.81449047862073        -12.876254583193584
120.82603273295209        -12.876629665844721
120.83821029040703        -12.877025393611886
120.89982369689011        -12.879027612518685
120.94169107361789        -12.880388154940334
120.95288165808526        -12.88075180955834
121.29105489600671        -12.894733515929687
121.64653105583818        -12.909430608222756
121.87136808026116        -12.918726451016873
121.95799309808906        -12.922307945434138
122.0471603805809         -12.925994549286637
122.16527854803161        -12.930878121814633
122.34905623806756        -12.93847637446017
122.79538228873685        -12.956929637718652
122.84487366893264        -12.959279498376377
122.89980494953025        -12.961887646596205
122.91037525304509        -12.962389526727076
123.07374232049223        -12.970146227854482
123.14648090188821        -12.973607844396875
123.15143095285633        -12.973843416468643
123.7318555261582         -13.001465721798137
123.8841029841981         -13.008711152066004
124.0344162372313         -13.015864533851225
124.11424806916472        -13.019663716963226
124.5000723592387         -13.038025028379336
124.69446364790394        -13.04727607627753
124.9809837103924         -13.060911516631233
125.07706518547315        -13.065484017457802
125.25395753979247        -13.074617120461525
125.30531269999561        -13.077268631148439
125.55224072622327        -13.090017735578199
125.58720728173884        -13.091823088638474
125.80876269484651        -13.103262183429958
126.18306912811211        -13.122587943568805
126.18707877282692        -13.122794964942505
126.21123961446531        -13.124042409786513
126.22226651587343        -13.124611738103496
126.27017940159793        -13.12795522546454
126.51744701632825        -13.145210210885368
126.71482098213272        -13.158983486071955
126.83783930991473        -13.16522470625701
127.23676954931798        -13.185464060079186
127.31573027102617        -13.189470058689613
127.48819776117662        -13.198220036032012
127.63005468173174        -13.205417014660494
128.00702128217011        -13.224542063733804
128.1630103228079         -13.23245602230103
128.26412329487695        -13.240629183448627
128.39705654395175        -13.25137444040556
128.52492262430385        -13.26171010811112
128.6427984992926         -13.268197040454272
128.64510592457327        -13.268324022431576
128.9028262665968         -13.28250686028809
129.02081625927644        -13.289000072743601
129.36288519403942        -13.307824773189857
129.46843549801955        -13.313633406048652
129.57511450680994        -13.31950415366791
129.63917608140173        -13.323029583279467
129.72261106692926        -13.327621168336384
129.75954605696666        -13.329653770694506
129.78212219117788        -13.330852532578193
130.02499802162686        -13.343748907364384
130.02509551510528        -13.343754084134895
130.18434447762377        -13.35220998648283
130.441804357667          -13.365880754378129
130.44214655899904        -13.365898924801352
130.4808973164389         -13.36795653708113
130.4809840284992         -13.367961141373065
130.67953495791897        -13.378503924470152
130.8072642406609         -13.385286174883333
131.1021709268202         -13.400945317024561
131.20224857591114        -13.406259303467808
131.24951954567064        -13.408769327381666
131.56115052709754        -13.425316506753283
131.78936540776795        -13.438603073302726
131.82866872591987        -13.442334380703603
131.9495411045865         -13.4538095441831
132.11544233395017        -13.469559575326691
132.47669738364016        -13.503855754476296
132.72311699034935        -13.527249893838281
132.7549419427736         -13.53027123366649
132.77388917889837        -13.532070012133616
133.17734442066725        -13.55986799881778
133.37862506081404        -13.573882569251081
133.3898075153937         -13.574661170199537
133.48264774920676        -13.581125358682188
133.5196925376654         -13.583704676775882
133.7136731975836         -13.597210971366092
133.9353662724806         -13.61264679872863
134.08039959602348        -13.622745036326098
134.1                     -13.624109753975295
